Database initialized successfully
Server is running on port 3000
Environment: development
::1 - - [20/Aug/2025:18:35:20 +0000] "GET /api/auth/me HTTP/1.1" 200 79 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:35:21 +0000] "GET /api/records?page=1&limit=5 HTTP/1.1" 200 2056 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:35:21 +0000] "GET /api/records?page=1&limit=5 HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:35:23 +0000] "GET /api/records?page=1&limit=10&search=&status= HTTP/1.1" 200 2057 "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:35:23 +0000] "GET /api/records?page=1&limit=10&search=&status= HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:35:29 +0000] "GET /api/auth/me HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:35:29 +0000] "GET /api/auth/me HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:35:37 +0000] "GET /check/sticker?qr=ITQYeaDbublNInxGhrl5 HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:35:38 +0000] "GET /api/qrcode/info/ITQYeaDbublNInxGhrl5 HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:37:14 +0000] "GET /check/sticker?qr=ITQYeaDbublNInxGhrl5 HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:37:14 +0000] "GET /api/qrcode/info/ITQYeaDbublNInxGhrl5 HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:37:55 +0000] "GET /check/sticker?qr=xxx HTTP/1.1" 304 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
::1 - - [20/Aug/2025:18:37:55 +0000] "GET /api/qrcode/info/xxx HTTP/1.1" 404 40 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
